Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-01-02T05:00:00Z,TSLA,28.29999717,160,Market On Open,Filled,4527.999547, 
2020-01-02T05:00:00Z,AMD,46.9,60,Market On Open,Filled,2814, 
2020-01-02T05:00:00Z,NVDA,5.944165007,238,Market On Open,Filled,1414.711272, 
2020-01-02T05:00:00Z,AAPL,71.26132685,11,Market On Open,Filled,783.8745953, 
2020-01-02T05:00:00Z,MU,53.47499718,9,Market On Open,Filled,481.2749746, 
2020-01-02T05:00:00Z,BAC,30.33867088,13,Market On Open,Filled,394.4027214, 
2020-01-02T05:00:00Z,JPM,117.3387055,2,Market On Open,Filled,234.6774111, 
2020-01-06T05:00:00Z,TSLA,29.35666373,-4,Market On Open,Filled,-117.4266549, 
2020-01-06T05:00:00Z,AMD,48.01,11,Market On Open,Filled,528.11, 
2020-01-06T05:00:00Z,AAPL,70.64316905,17,Market On Open,Filled,1200.933874, 
2020-01-06T05:00:00Z,NVDA,5.782650957,-41,Market On Open,Filled,-237.0886892, 
2020-01-06T05:00:00Z,MU,52.421687,4,Market On Open,Filled,209.686748, 
2020-01-06T05:00:00Z,INTC,52.56732446,11,Market On Open,Filled,578.240569, 
2020-01-06T05:00:00Z,BAC,29.53192829,1,Market On Open,Filled,29.53192829, 
2020-01-09T05:00:00Z,TSLA,33.14333002,-8,Market On Open,Filled,-265.1466402, 
2020-01-09T05:00:00Z,AMD,48.92,25,Market On Open,Filled,1223, 
2020-01-09T05:00:00Z,MU,56.82023227,34,Market On Open,Filled,1931.887897, 
2020-01-09T05:00:00Z,AAPL,73.90232786,-8,Market On Open,Filled,-591.2186229, 
2020-01-09T05:00:00Z,NVDA,6.061132039,-39,Market On Open,Filled,-236.3841495, 
2020-01-09T05:00:00Z,UNH,264.8069389,2,Market On Open,Filled,529.6138779, 
2020-01-09T05:00:00Z,CRM,176.2523283,3,Market On Open,Filled,528.7569848, 
2020-01-13T21:00:00Z,TSLA,36.29466304,-3,Market On Open,Filled,-108.8839891, 
2020-01-13T21:00:00Z,AMD,48.62,5,Market On Open,Filled,243.1, 
2020-01-13T21:00:00Z,AAPL,76.18975223,17,Market On Open,Filled,1295.225788, 
2020-01-13T21:00:00Z,NVDA,6.234342792,101,Market On Open,Filled,629.668622, 
2020-01-13T21:00:00Z,CRM,180.8449018,2,Market On Open,Filled,361.6898036, 
2020-01-13T21:00:00Z,MU,56.35209442,-33,Market On Open,Filled,-1859.619116, 
2020-01-13T21:00:00Z,ADBE,347.01,1,Market On Open,Filled,347.01, 
2020-01-16T21:00:00Z,TSLA,33.84066328,3,Market On Open,Filled,101.5219898, 
2020-01-16T21:00:00Z,AMD,50.25,-3,Market On Open,Filled,-150.75, 
2020-01-16T21:00:00Z,NVDA,6.214682376,3,Market On Open,Filled,18.64404713, 
2020-01-16T21:00:00Z,FB,220.3012078,3,Market On Open,Filled,660.9036234, 
2020-01-21T05:00:00Z,TSLA,35.34999647,2,Market On Open,Filled,70.69999293, 
2020-01-21T05:00:00Z,GOOGL,73.34381706,11,Market On Open,Filled,806.7819877, 
2020-01-21T05:00:00Z,GOOG,73.3537689,8,Market On Open,Filled,586.8301512, 
2020-01-23T21:00:00Z,BAC,29.27445725,-14,Market On Open,Filled,-409.8424015,Liquidated 
2020-01-24T21:00:00Z,JPM,110.0158947,-2,Market On Open,Filled,-220.0317895,Liquidated 
2020-01-24T21:00:00Z,TSLA,36.07266306,-8,Market On Open,Filled,-288.5813045, 
2020-01-24T21:00:00Z,AMD,48.45,4,Market On Open,Filled,193.8, 
2020-01-24T21:00:00Z,AAPL,74.53972792,2,Market On Open,Filled,149.0794558, 
2020-01-24T21:00:00Z,INTC,58.85705467,17,Market On Open,Filled,1000.569929, 
2020-01-24T21:00:00Z,NVDA,5.947897998,-88,Market On Open,Filled,-523.4150238, 
2020-01-24T21:00:00Z,CRM,175.858116,-1,Market On Open,Filled,-175.858116, 
2020-01-27T21:00:00Z,TSLA,37.87799621,-4,Market On Open,Filled,-151.5119848, 
2020-01-27T21:00:00Z,AMD,50.03,-13,Market On Open,Filled,-650.39, 
2020-01-27T21:00:00Z,AAPL,75.16510156,-5,Market On Open,Filled,-375.8255078, 
2020-01-27T21:00:00Z,INTC,58.66298165,-3,Market On Open,Filled,-175.988945, 
2020-01-27T21:00:00Z,CRM,178.5190491,1,Market On Open,Filled,178.5190491, 
2020-01-27T21:00:00Z,ADBE,349,1,Market On Open,Filled,349, 
2020-01-27T21:00:00Z,V,192.9596141,2,Market On Open,Filled,385.9192282, 
2020-01-29T21:00:00Z,UNH,253.604226,-2,Market On Open,Filled,-507.208452,Liquidated 
2020-01-29T21:00:00Z,AMD,46.49,-89,Market On Open,Filled,-4137.61,Liquidated 
2020-01-30T21:00:00Z,FB,206.6582694,-3,Market On Open,Filled,-619.9748083,Liquidated 
2020-01-30T21:00:00Z,TSLA,42.6666624,-10,Market On Open,Filled,-426.666624, 
2020-01-30T21:00:00Z,AMD,48.4,112,Market On Open,Filled,5420.8, 
2020-01-30T21:00:00Z,AAPL,77.19516063,5,Market On Open,Filled,385.9758031, 
2020-01-30T21:00:00Z,INTC,57.97490457,5,Market On Open,Filled,289.8745229, 
2020-01-30T21:00:00Z,NVDA,6.071584412,-28,Market On Open,Filled,-170.0043635, 
2020-01-30T21:00:00Z,MSFT,162.7852567,4,Market On Open,Filled,651.1410267, 
2020-01-31T21:00:00Z,MU,52.01206638,-14,Market On Open,Filled,-728.1689293,Liquidated 
2020-01-31T21:00:00Z,NVDA,5.865772209,-146,Market On Open,Filled,-856.4027426,Liquidated 
2020-02-03T21:00:00Z,TSLA,58.91732744,-16,Market On Open,Filled,-942.6772391, 
2020-02-03T21:00:00Z,NFLX,0,164,Market On Open,Invalid,0, 
2020-02-03T21:00:00Z,MSFT,167.4738048,16,Market On Open,Filled,2679.580877, 
2020-02-03T21:00:00Z,CRM,185.2797904,5,Market On Open,Filled,926.398952, 
2020-02-03T21:00:00Z,AAPL,75.88428125,-23,Market On Open,Filled,-1745.338469, 
2020-02-03T21:00:00Z,INTC,58.02783358,-18,Market On Open,Filled,-1044.501004, 
2020-02-06T21:00:00Z,TSLA,48.6726618,8,Market On Open,Filled,389.3812944, 
2020-02-06T21:00:00Z,AMD,48.93,9,Market On Open,Filled,440.37, 
2020-02-06T21:00:00Z,INTC,59.2710089,21,Market On Open,Filled,1244.691187, 
2020-02-06T21:00:00Z,AAPL,77.69662014,-1,Market On Open,Filled,-77.69662014, 
2020-02-06T21:00:00Z,NVDA,6.287351256,155,Market On Open,Filled,974.5394446, 
2020-02-06T21:00:00Z,NFLX,36.504,20,Market On Open,Filled,730.08, 
2020-02-10T05:00:00Z,MSFT,0,14,Market On Open,Invalid,0, 
2020-02-10T05:00:00Z,INTC,58.13629619,26,Market On Open,Filled,1511.543701, 
2020-02-10T05:00:00Z,NFLX,36.5,33,Market On Open,Filled,1204.5, 
2020-02-10T05:00:00Z,NVDA,0,44,Market On Open,Invalid,0, 
2020-02-10T05:00:00Z,AAPL,75.73648384,-3,Market On Open,Filled,-227.2094515, 
2020-02-13T05:00:00Z,TSLA,49.45599505,6,Market On Open,Filled,296.7359703, 
2020-02-13T05:00:00Z,AMD,53.43,-3,Market On Open,Filled,-160.29, 
2020-02-13T05:00:00Z,INTC,59.38625316,3,Market On Open,Filled,178.1587595, 
2020-02-13T05:00:00Z,NVDA,0,158,Market On Open,Invalid,0, 
2020-02-13T05:00:00Z,MSFT,173.0603611,-13,Market On Open,Filled,-2249.784695, 
2020-02-13T05:00:00Z,NFLX,37.735,-26,Market On Open,Filled,-981.11, 
