Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-01-02T21:00:00Z,TSLA,2020-01-06T21:00:00Z,Buy,28.29999717,29.35666373,4,4.23,2,0,7.21,2.98,1,"	1,8 "
2020-01-02T21:00:00Z,NVDA,2020-01-06T21:00:00Z,Buy,5.944165007,5.782650957,41,-6.62,2.19,-6.62,0,6.62,0,"	3,11 "
2020-01-02T21:00:00Z,TSLA,2020-01-09T21:00:00Z,Buy,28.29999717,33.14333002,8,38.75,1,0,38.75,5.97,1,"	1,15 "
2020-01-02T21:00:00Z,AAPL,2020-01-09T21:00:00Z,Buy,71.26132685,73.90232786,8,21.13,2,-4.95,25.71,11.74,1,"	4,18 "
2020-01-02T21:00:00Z,NVDA,2020-01-09T21:00:00Z,Buy,5.944165007,6.061132039,39,4.56,1,-6.3,4.56,6.3,1,"	3,19 "
2020-01-02T21:00:00Z,TSLA,2020-01-14T21:00:00Z,Buy,28.29999717,36.29466304,3,23.98,1,0,23.98,3.8,1,"	1,22 "
2020-01-02T21:00:00Z,MU,2020-01-14T21:00:00Z,Buy,53.47499718,56.35209442,9,25.89,2,-11.1,30.19,14.04,1,"	5,27 "
2020-01-02T21:00:00Z,AMD,2020-01-17T21:00:00Z,Buy,46.9,50.25,3,10.05,2,0,12.09,2.42,1,"	2,30 "
2020-01-02T21:00:00Z,BAC,2020-01-24T21:00:00Z,Buy,30.33867088,29.27445725,13,-13.83,2,-20.19,0,20.19,0,"	6,36 "
2020-01-02T21:00:00Z,JPM,2020-01-27T21:00:00Z,Buy,117.3387055,110.0158947,2,-14.65,2,-14.65,2.18,16.83,0,"	7,37 "
2020-01-02T21:00:00Z,TSLA,2020-01-27T21:00:00Z,Buy,28.29999717,36.07266306,8,62.18,1,0,78.77,19.63,1,"	1,38 "
2020-01-02T21:00:00Z,NVDA,2020-01-27T21:00:00Z,Buy,5.944165007,5.947897998,88,0.33,1,-14.21,30.68,30.35,1,"	3,42 "
2020-01-02T21:00:00Z,TSLA,2020-01-28T21:00:00Z,Buy,28.29999717,37.87799621,4,38.31,1,0,39.39,9.82,1,"	1,44 "
2020-01-02T21:00:00Z,AMD,2020-01-28T21:00:00Z,Buy,46.9,50.03,13,40.69,1,0,62.53,42.38,1,"	2,45 "
2020-01-02T21:00:00Z,AAPL,2020-01-28T21:00:00Z,Buy,71.26132685,75.16510156,3,11.71,1,-1.85,16.57,7.42,1,"	4,46 "
2020-01-02T21:00:00Z,AMD,2020-01-30T21:00:00Z,Buy,46.9,46.49,44,-18.04,1,-18.04,211.64,229.68,0,"	2,52 "
2020-01-02T21:00:00Z,TSLA,2020-01-31T21:00:00Z,Buy,28.29999717,42.6666624,10,143.67,1,0,150.71,24.54,1,"	1,54 "
2020-01-02T21:00:00Z,NVDA,2020-01-31T21:00:00Z,Buy,5.944165007,6.071584412,28,3.57,1,-4.52,9.76,11.45,1,"	3,58 "
2020-01-02T21:00:00Z,NVDA,2020-02-03T21:00:00Z,Buy,5.944165007,5.865772209,42,-3.29,1,-6.78,14.64,17.94,0,"	3,61 "
2020-01-02T21:00:00Z,TSLA,2020-02-04T21:00:00Z,Buy,28.29999717,58.91732744,16,489.88,1,0,493.4,39.26,1,"	1,62 "
2020-01-02T21:00:00Z,TSLA,2020-02-24T21:00:00Z,Buy,28.29999717,55.90599441,11,303.67,1,0,361.47,115.11,1,"	1,91 "
2020-01-02T21:00:00Z,TSLA,2020-02-28T21:00:00Z,Buy,28.29999717,41.72066249,96,1288.38,1,0,3154.69,1866.3,1,"	1,108 "
2020-01-06T21:00:00Z,MU,2020-01-14T21:00:00Z,Buy,52.421687,56.35209442,4,15.72,1,-0.72,17.63,6.24,1,"	12,27 "
2020-01-06T21:00:00Z,BAC,2020-01-24T21:00:00Z,Buy,29.53192829,29.27445725,1,-0.26,1,-0.75,0.81,1.53,0,"	14,36 "
2020-01-06T21:00:00Z,AAPL,2020-01-28T21:00:00Z,Buy,70.64316905,75.16510156,2,9.04,1,0,12.28,4.95,1,"	10,46 "
